模板id;机型
30345;iPhone7,1,,iPhone7,2
24460;iPhone7,1
29518;iPhone7,1,,iPhone7,2
24462;iPhone7,1
29517;iPhone7,1,,iPhone7,2
29512;iPhone7,1,,iPhone7,2
29513;iPhone7,1,,iPhone7,2
29510;iPhone7,1,,iPhone7,2
27290;iPhone7,1,,iPhone7,2
26843;iPhone7,1,,iPhone7,2
25350;iPhone7,1,,iPhone7,2
25351;iPhone7,1,,iPhone7,2
25352;iPhone7,1,,iPhone7,2
44572;iPhone7,1,,iPhone7,2
28310;iPhone7,1,,iPhone7,2
39428;iPhone7,1,,iPhone7,2
40737;iPhone7,1,,iPhone7,2
27701;iPhone7,1,,iPhone7,2
31866;iPhone7,1,,iPhone7,2
28295;iPhone7,1,,iPhone7,2
31862;iPhone7,1,,iPhone7,2
25201;iPhone7,1,,iPhone7,2
16090;OPPO_A11x,,OPPO_A37m,,OPPO_A59s,,OPPO_A57t,,OPPO_PBBM30,,OPPO_PBAM00,,OPPO_PCAM10,,OPPO_R11,,VIVO_Y66
34530;iPhone7,1,,iPhone7,2
34531;iPhone7,1,,iPhone7,2
31764;iPhone7,1,,iPhone7,2
27822;iPhone7,1,,iPhone7,2
24024;iPhone7,1,,iPhone7,2
38373;iPhone7,1,,iPhone7,2
38374;iPhone7,1,,iPhone7,2
38375;iPhone7,1,,iPhone7,2
31219;iPhone7,1,,iPhone7,2
27666;iPhone7,1,,iPhone7,2
38379;iPhone7,1,,iPhone7,2
27662;iPhone7,1,,iPhone7,2
30118;iPhone7,1,,iPhone7,2
38177;iPhone7,1,,iPhone7,2
27141;iPhone7,1,,iPhone7,2
26240;iPhone7,1,,iPhone7,2
25615;iPhone7,1,,iPhone7,2
25614;iPhone7,1,,iPhone7,2
27261;iPhone7,1,,iPhone7,2
27266;iPhone7,1,,iPhone7,2
45569;iPhone7,1,,iPhone7,2
32380;iPhone7,1,,iPhone7,2
29541;iPhone7,1,,iPhone7,2
32568;iPhone7,1,,iPhone7,2
31748;iPhone7,1,,iPhone7,2
26692;iPhone7,1,,iPhone7,2
31793;iPhone7,1,,iPhone7,2
29519;iPhone7,1,,iPhone7,2
22220;iPhone7,1,,iPhone7,2
16480;iPhone7,1,,iPhone7,2
31085;iPhone7,1,,iPhone7,2
30107;iPhone7,1,,iPhone7,2
30128;iPhone7,1,,iPhone7,2
34623;iPhone7,1,,iPhone7,2
26542;iPhone7,1,,iPhone7,2
31082;iPhone7,1,,iPhone7,2
26426;iPhone7,1,,iPhone7,2
41736;iPhone7,1,,iPhone7,2
39426;iPhone7,1,,iPhone7,2
28733;iPhone7,1,,iPhone7,2
25988;iPhone7,1,,iPhone7,2
29534;iPhone7,1,,iPhone7,2
26992;iPhone7,1,,iPhone7,2
26991;iPhone7,1,,iPhone7,2
29537;iPhone7,1,,iPhone7,2
26997;iPhone7,1,,iPhone7,2
31761;iPhone7,1,,iPhone7,2
24365;iPhone7,1
24443;iPhone7,1
24442;iPhone7,1
29846;iPhone7,1,,iPhone7,2
23382;iPhone7,1,,iPhone7,2
24446;iPhone7,1
24445;iPhone7,1
29843;iPhone7,1,,iPhone7,2
24760;iPhone7,1,,iPhone7,2
26222;iPhone7,1,,iPhone7,2
24766;iPhone7,1
25332;iPhone7,1,,iPhone7,2
34514;iPhone7,1,,iPhone7,2
34517;iPhone7,1,,iPhone7,2
34519;iPhone7,1,,iPhone7,2
30493;iPhone7,1,,iPhone7,2
30494;iPhone7,1,,iPhone7,2
30497;iPhone7,1,,iPhone7,2
38393;iPhone7,1,,iPhone7,2
18599;iPhone7,1,,iPhone7,2
27641;iPhone7,1,,iPhone7,2
26845;iPhone7,1,,iPhone7,2
30979;iPhone7,1,,iPhone7,2
40278;iPhone7,1,,iPhone7,2
24893;iPhone7,1,,iPhone7,2
34196;iPhone7,1,,iPhone7,2
14539;iPhone8,1,,iPhone8,2,,iPhone9,1,,iPhone9,3,,OPPO_A37m,,OPPO_A53,,OPPO_A53m,,OPPO_A57,,OPPO_A57t,,OPPO_A73,,OPPO_A83,,OPPO_A83t,,OPPO_PADM00,,OPPO_PACM00,,OPPO_PBAT00,,OPPO_PBBM00,,OPPO_PBBT30,,OPPO_PCAM10,,VIVO_V1732A,,VIVO_V1732T,,VIVO_V1930A,,VIVO_V1930T,,VIVO_Y71,,VIVO_Y71A,,HONOR_DUA-AL00,,HONOR_JAT-AL00
38398;iPhone7,1,,iPhone7,2
38399;iPhone7,1,,iPhone7,2
45992;iPhone7,1,,iPhone7,2
38397;iPhone7,1,,iPhone7,2
31960;iPhone7,1,,iPhone7,2
34199;iPhone7,1,,iPhone7,2
38390;iPhone7,1,,iPhone7,2
33178;iPhone7,1,,iPhone7,2
38159;iPhone7,1,,iPhone7,2
25639;iPhone7,1,,iPhone7,2
25638;iPhone7,1,,iPhone7,2
27120;iPhone7,1,,iPhone7,2
21289;iPhone7,1,,iPhone7,2
25633;iPhone7,1,,iPhone7,2
29896;iPhone7,1,,iPhone7,2
22209;iPhone7,1,,iPhone7,2
25142;iPhone7,1
24091;iPhone7,1
25147;iPhone7,1
20088;iPhone7,1,,iPhone7,2
20943;OPPO_A57,,OPPO_A57t,,OPPO_A59s,,OPPO R9m,,VIVO_V1732A,,VIVO_V1732T,,VIVO_V1818CA,,VIVO_Y55,,VIVO_Y55A,,VIVO_Y66i,,VIVO_Y66i A,,VIVO_Y66L,,VIVO_Y83,,VIVO_Y83A,,HONOR_DLI-AL10
44780;iPhone7,1,,iPhone7,2
20084;iPhone7,1,,iPhone7,2
41352;iPhone7,1,,iPhone7,2
24099;iPhone7,1
29841;iPhone7,1,,iPhone7,2
42228;iPhone7,1,,iPhone7,2
25381;iPhone7,1,,iPhone7,2
39431;iPhone7,1,,iPhone7,2
32044;iPhone7,1,,iPhone7,2
33961;iPhone7,1,,iPhone7,2
31119;iPhone7,1,,iPhone7,2
25634;iPhone7,1,,iPhone7,2
30797;iPhone7,1,,iPhone7,2
28317;iPhone7,1,,iPhone7,2
28571;iPhone7,1,,iPhone7,2
28570;iPhone7,1,,iPhone7,2
28577;iPhone7,1,,iPhone7,2
18845;iPhone7,1,,iPhone7,2
32405;iPhone7,1,,iPhone7,2
28951;iPhone7,1,,iPhone7,2
24428;iPhone7,1
28953;iPhone7,1,,iPhone7,2
28955;iPhone7,1,,iPhone7,2
27292;iPhone7,1,,iPhone7,2
28959;iPhone7,1,,iPhone7,2
24425;iPhone7,1
34212;iPhone7,1,,iPhone7,2
25319;iPhone7,1,,iPhone7,2
26712;iPhone7,1,,iPhone7,2
25646;iPhone7,1,,iPhone7,2
25647;iPhone7,1,,iPhone7,2
25313;iPhone7,1,,iPhone7,2
25315;iPhone7,1,,iPhone7,2
25640;iPhone7,1,,iPhone7,2
25317;iPhone7,1,,iPhone7,2
29894;iPhone7,1,,iPhone7,2
26357;iPhone7,1,,iPhone7,2
18032;OPPO_A57,,OPPO_PBAM00,,OPPO_PBBM30,,OPPO_PCAM10,,VIVO_V1930A,,VIVO_V1930T,,VIVO_Y85,,VIVO_Y85A
28688;iPhone7,1,,iPhone7,2
20396;iPhone7,1,,iPhone7,2
39777;iPhone7,1,,iPhone7,2
34528;iPhone7,1,,iPhone7,2
24533;iPhone7,1
26457;iPhone7,1,,iPhone7,2
26454;iPhone7,1,,iPhone7,2
29890;iPhone7,1,,iPhone7,2
26452;iPhone7,1,,iPhone7,2
28275;iPhone7,1,,iPhone7,2
26450;iPhone7,1,,iPhone7,2
26451;iPhone7,1,,iPhone7,2
31225;iPhone7,1,,iPhone7,2
17197;OPPO_A11x,,OPPO_A79k,,OPPO_A83,,OPPO_PBBM30,,OPPO_PBAM00,,OPPO_PCAM10,,OPPO_R11t,,VIVO_V1930A,,VIVO_V1930T,,VIVO_V1934A,,VIVO_X7,,VIVO_Y53,,VIVO_Y53L,,VIVO_Y71,,VIVO_Y71A,,HONOR_DUA-AL00,,HONOR_DUK-AL20,,HONOR_DUK-TL30
32516;iPhone7,1,,iPhone7,2
24631;iPhone7,1,,iPhone7,2
23741;iPhone7,1,,iPhone7,2
28294;iPhone7,1,,iPhone7,2
24945;iPhone7,1,,iPhone7,2
28292;iPhone7,1,,iPhone7,2
29878;iPhone7,1,,iPhone7,2
42447;iPhone7,1,,iPhone7,2
29875;iPhone7,1,,iPhone7,2
22612;iPhone7,1,,iPhone7,2
29876;iPhone7,1,,iPhone7,2
25163;iPhone7,1
29873;iPhone7,1,,iPhone7,2
25160;iPhone7,1
27198;iPhone7,1,,iPhone7,2
30129;iPhone7,1,,iPhone7,2
20264;iPhone8,2,,iPhone7,2,,OPPO_A33,,OPPO_A57,,OPPO_PADT00,,VIVO_Y53,,VIVO_Y53L,,VIVO_Y67,,VIVO_Y67A
26181;iPhone7,1,,iPhone7,2
38978;iPhone7,1,,iPhone7,2
28613;iPhone7,1,,iPhone7,2
39805;iPhone7,1,,iPhone7,2
38186;iPhone7,1,,iPhone7,2
38974;iPhone7,1,,iPhone7,2
38975;iPhone7,1,,iPhone7,2
38973;iPhone7,1,,iPhone7,2
39803;iPhone7,1,,iPhone7,2
28457;iPhone7,1,,iPhone7,2
30114;iPhone7,1,,iPhone7,2
29475;iPhone7,1,,iPhone7,2
26098;iPhone7,1,,iPhone7,2
30881;iPhone7,1,,iPhone7,2
21884;iPhone7,1,,iPhone7,2
24408;iPhone7,1
38378;iPhone7,1,,iPhone7,2
25762;iPhone7,1,,iPhone7,2
40264;iPhone7,1,,iPhone7,2
24647;iPhone7,1
19632;iPhone7,1,,iPhone7,2
38403;iPhone7,1,,iPhone7,2
28612;iPhone7,1,,iPhone7,2
25768;iPhone7,1,,iPhone7,2
28974;iPhone7,1,,iPhone7,2
28973;iPhone7,1,,iPhone7,2
27357;iPhone7,1,,iPhone7,2
28970;iPhone7,1,,iPhone7,2
